,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2025-01-07,242.14,245.26,240.9,243.93,243.93,5340042,5340042,1.79,0.73924176,243.36,"January 07, 25",0.0073924176
1,2025-01-06,243.7,245.69,240.58,240.85,240.85,9819749,9819749,-2.84,-1.17,242.705,"January 06, 25",-0.0117
2,2025-01-03,243.89,244.88,240.26,243.28,242.03,9491053,9491053,-0.61,-0.25011,243.0775,"January 03, 25",-0.0025011
3,2025-01-02,240.92,243.28,239.45,240.0,238.77,9220914,9220914,-0.92,-0.38187,240.9125,"January 02, 25",-0.0038187
4,2024-12-31,240.05,241.44,239.03,239.71,238.48,4871000,4871000,-0.34,-0.14164,240.0575,"December 31, 24",-0.0014164
5,2024-12-30,238.77,240.84,237.11,239.32,238.09,5723800,5723800,0.55,0.23035,239.01,"December 30, 24",0.0023035
6,2024-12-27,242.72,243.39,240.04,241.17,239.93,5730607,5730607,-1.55,-0.6386,241.83,"December 27, 24",-0.006386
7,2024-12-26,241.43,243.26,240.79,243.14,241.89,4452168,4452168,1.71,0.70828,242.155,"December 26, 24",0.0070828
8,2024-12-24,239.43,242.49,239.07,242.31,241.06,3729100,3729100,2.88,1.2,240.825,"December 24, 24",0.012
9,2024-12-23,236.07,238.62,234.88,238.39,237.17,8611528,8611528,2.32,0.98276,236.99,"December 23, 24",0.0098276
10,2024-12-20,231.92,239.21,231.59,237.6,236.38,32348414,32348414,5.68,2.45,235.08,"December 20, 24",0.0245
11,2024-12-19,232.27,236.36,232.27,232.96,231.76,11790800,11790800,0.69,0.29707,233.465,"December 19, 24",0.0029707
12,2024-12-18,239.0,239.07,229.53,230.37,229.19,11322400,11322400,-8.63,-3.61,234.4925,"December 18, 24",-0.0361
13,2024-12-17,238.65,239.02,236.63,238.36,237.14,8083635,8083635,-0.29,-0.12152,238.165,"December 17, 24",-0.0012152
14,2024-12-16,240.61,240.67,237.52,239.58,238.35,9032044,9032044,-1.03,-0.42808,239.595,"December 16, 24",-0.0042808
15,2024-12-13,242.07,242.72,239.14,239.94,238.71,10392749,10392749,-2.13,-0.87991,240.9675,"December 13, 24",-0.0087991
16,2024-12-12,243.0,244.1,241.04,241.53,240.29,6113800,6113800,-1.47,-0.60494,242.4175,"December 12, 24",-0.0060494
17,2024-12-11,244.0,244.27,242.18,243.53,242.28,7884442,7884442,-0.47,-0.19262,243.495,"December 11, 24",-0.0019262
18,2024-12-10,243.89,247.96,242.22,242.86,241.61,9108339,9108339,-1.03,-0.42232,244.2325,"December 10, 24",-0.0042232
19,2024-12-09,247.13,247.87,243.76,243.81,242.56,7076500,7076500,-3.32,-1.34,245.6425,"December 09, 24",-0.0134
20,2024-12-06,245.7,247.74,244.84,247.36,247.36,5519738,5519738,1.66,0.67562,246.41,"December 06, 24",0.0067562
21,2024-12-05,245.39,247.18,244.62,245.48,245.48,6572536,6572536,0.09,0.03667631,245.6675,"December 05, 24",0.0003667631
22,2024-12-04,244.7,245.35,242.23,243.4,243.4,7346300,7346300,-1.3,-0.53126,243.92,"December 04, 24",-0.0053126
23,2024-12-03,248.23,249.04,244.63,244.82,244.82,6657700,6657700,-3.41,-1.37,246.68,"December 03, 24",-0.0137
24,2024-12-02,249.55,250.25,245.03,246.25,246.25,8899741,8899741,-3.3,-1.32,247.77,"December 02, 24",-0.0132
25,2024-11-29,249.86,251.77,249.45,249.72,249.72,5494825,5494825,-0.14,-0.05603138,250.2,"November 29, 24",-0.0005603138
26,2024-11-27,249.35,251.19,248.77,249.79,249.79,5472300,5472300,0.44,0.17646,249.775,"November 27, 24",0.0017646
27,2024-11-26,250.49,251.0,248.34,249.97,249.97,6212142,6212142,-0.52,-0.20759,249.95,"November 26, 24",-0.0020759
28,2024-11-25,249.59,254.31,249.06,250.29,250.29,10295400,10295400,0.7,0.28046,250.8125,"November 25, 24",0.0028046
29,2024-11-22,243.61,249.15,243.03,248.55,248.55,7997307,7997307,4.94,2.03,246.085,"November 22, 24",0.0203
30,2024-11-21,243.23,245.49,242.11,244.76,244.76,8783516,8783516,1.53,0.62903,243.8975,"November 21, 24",0.0062903
31,2024-11-20,244.4,244.61,238.64,240.78,240.78,9015300,9015300,-3.62,-1.48,242.1075,"November 20, 24",-0.0148
32,2024-11-19,242.25,245.15,241.55,243.09,243.09,6792700,6792700,0.84,0.34675,243.01,"November 19, 24",0.0034675
33,2024-11-18,247.76,247.93,242.68,245.03,245.03,9052600,9052600,-2.73,-1.1,245.85,"November 18, 24",-0.011
34,2024-11-15,241.46,246.42,241.46,245.31,245.31,11518836,11518836,3.85,1.59,243.6625,"November 15, 24",0.0159
35,2024-11-14,242.42,244.29,241.05,241.87,241.87,10172202,10172202,-0.545,-0.22688,242.4075,"November 14, 24",-0.0022688
36,2024-11-13,240.58,244.09,240.31,241.16,241.16,11472600,11472600,0.58,0.24108,241.535,"November 13, 24",0.0024108
37,2024-11-12,240.55,241.46,238.76,239.56,239.56,6861000,6861000,-0.99,-0.41156,240.0825,"November 12, 24",-0.0041156
38,2024-11-11,240.0,242.1,239.0,239.29,239.29,9017100,9017100,-0.71,-0.29583,240.0975,"November 11, 24",-0.0029583
39,2024-11-08,239.34,239.34,235.78,236.98,236.98,9502100,9502100,-2.36,-0.98604,237.86,"November 08, 24",-0.0098604
40,2024-11-07,244.5,244.57,235.22,236.38,236.38,16451100,16451100,-8.12,-3.32,240.1675,"November 07, 24",-0.0332
41,2024-11-06,235.0,248.0,234.77,247.06,247.06,23987800,23987800,12.06,5.13,241.2075,"November 06, 24",0.0513
42,2024-11-05,220.03,221.96,220.0,221.49,221.49,5600700,5600700,1.46,0.66355,220.87,"November 05, 24",0.0066355
43,2024-11-04,222.65,223.76,219.17,219.78,219.78,8229600,8229600,-2.87,-1.29,221.34,"November 04, 24",-0.0129
44,2024-11-01,223.56,226.15,222.7,222.94,222.94,6923500,6923500,-0.62,-0.27733,223.8375,"November 01, 24",-0.0027733
45,2024-10-31,224.7,225.69,221.82,221.92,221.92,7829932,7829932,-2.78,-1.24,223.5325,"October 31, 24",-0.0124
46,2024-10-30,222.54,226.31,221.58,224.41,224.41,7110941,7110941,1.87,0.8403,223.71,"October 30, 24",0.008403
47,2024-10-29,225.21,226.75,222.81,222.9,222.9,6580004,6580004,-2.31,-1.03,224.4175,"October 29, 24",-0.0103
