,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2025-01-07,153.03,153.13,140.44,141.63,141.63,270928783,270928783,-11.4,-7.44952,145.07,"January 07, 25",-0.0744952
1,2025-01-06,148.59,152.16,147.82,149.43,149.43,265377359,265377359,0.84,0.56531,149.5,"January 06, 25",0.0056531
2,2025-01-03,140.01,144.9,139.73,144.47,144.47,229322500,229322500,4.46,3.19,142.2775,"January 03, 25",0.0319
3,2025-01-02,136.0,138.88,134.63,138.31,138.31,198247200,198247200,2.31,1.7,136.955,"January 02, 25",0.017
4,2024-12-31,138.03,138.07,133.83,134.29,134.29,155659211,155659211,-3.74,-2.71,136.055,"December 31, 24",-0.0271
5,2024-12-30,134.83,140.27,134.02,137.49,137.49,167734700,167734700,2.66,1.97,136.6525,"December 30, 24",0.0197
6,2024-12-27,138.55,139.02,134.71,137.01,137.01,170582603,170582603,-1.54,-1.11,137.3225,"December 27, 24",-0.0111
7,2024-12-26,139.7,140.85,137.73,139.93,139.93,116519090,116519090,0.23,0.16464,139.5525,"December 26, 24",0.0016464
8,2024-12-24,140.0,141.9,138.65,140.22,140.22,105157000,105157000,0.22,0.15714,140.1925,"December 24, 24",0.0015714
9,2024-12-23,136.28,139.79,135.12,139.67,139.67,176053506,176053506,3.39,2.49,137.715,"December 23, 24",0.0249
10,2024-12-20,129.81,135.28,128.22,134.7,134.7,306528600,306528600,4.89,3.77,132.0025,"December 20, 24",0.0377
11,2024-12-19,131.76,134.03,129.55,130.68,130.68,209719210,209719210,-1.08,-0.81967,131.505,"December 19, 24",-0.0081967
12,2024-12-18,133.86,136.7,128.28,128.91,128.91,277444533,277444533,-4.95,-3.7,131.9375,"December 18, 24",-0.037
13,2024-12-17,129.09,131.59,126.86,130.39,130.39,259410300,259410300,1.3,1.01,129.4825,"December 17, 24",0.0101
14,2024-12-16,134.18,134.4,130.42,132.0,132.0,237951130,237951130,-2.18,-1.62,132.75,"December 16, 24",-0.0162
15,2024-12-13,138.94,139.6,132.54,134.25,134.25,231514900,231514900,-4.69,-3.38,136.3325,"December 13, 24",-0.0338
16,2024-12-12,137.08,138.44,135.8,137.34,137.34,159211400,159211400,0.26,0.18967,137.165,"December 12, 24",0.0018967
17,2024-12-11,137.36,140.17,135.21,139.31,139.31,184905200,184905200,1.95,1.42,138.0125,"December 11, 24",0.0142
18,2024-12-10,139.01,141.82,133.79,135.07,135.07,210020900,210020900,-3.94,-2.83,137.4225,"December 10, 24",-0.0283
19,2024-12-09,138.97,139.95,137.13,138.81,138.81,189308625,189308625,-0.16,-0.11513,138.715,"December 09, 24",-0.0011513
20,2024-12-06,144.6,145.7,141.31,142.44,142.44,188505600,188505600,-2.16,-1.49,143.5125,"December 06, 24",-0.0149
21,2024-12-05,145.11,146.54,143.95,145.06,145.06,172621200,172621200,-0.05,-0.03445662,145.165,"December 05, 24",-0.0003445662
22,2024-12-04,142.0,145.79,140.29,145.14,145.13,231224300,231224300,3.14,2.21,143.305,"December 04, 24",0.0221
23,2024-12-03,138.26,140.54,137.95,140.26,140.25,164414000,164414000,2.0,1.45,139.2525,"December 03, 24",0.0145
24,2024-12-02,138.83,140.45,137.82,138.63,138.62,171682800,171682800,-0.2,-0.14406,138.9325,"December 02, 24",-0.0014406
25,2024-11-29,136.78,139.35,136.05,138.25,138.24,141863200,141863200,1.47,1.07,137.6075,"November 29, 24",0.0107
26,2024-11-27,135.01,137.22,131.8,135.34,135.33,226370912,226370912,0.33,0.24443,134.8425,"November 27, 24",0.0024443
27,2024-11-26,137.7,139.3,135.67,136.92,136.91,190287700,190287700,-0.78,-0.56645,137.3975,"November 26, 24",-0.0056645
28,2024-11-25,141.99,142.05,135.82,136.02,136.01,344941900,344941900,-5.97,-4.2,138.97,"November 25, 24",-0.042
29,2024-11-22,145.93,147.16,141.1,141.95,141.94,236406200,236406200,-3.98,-2.73,144.035,"November 22, 24",-0.0273
30,2024-11-21,149.35,152.89,140.7,146.67,146.66,400946600,400946600,-2.68,-1.79,147.4025,"November 21, 24",-0.0179
31,2024-11-20,147.41,147.56,142.73,145.89,145.88,309871700,309871700,-1.52,-1.03,145.8975,"November 20, 24",-0.0103
