,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2025-01-07,405.83,414.33,391.2,393.725,393.725,55925321,55925321,-12.1,-2.98278,399.75,"January 07, 25",-0.0298278
1,2025-01-06,423.2,426.43,401.7,411.05,411.05,84642221,84642221,-12.15,-2.87,415.595,"January 06, 25",-0.0287
2,2025-01-03,381.48,411.88,379.45,410.44,410.44,95423329,95423329,28.96,7.59,395.8125,"January 03, 25",0.0759
3,2025-01-02,390.1,392.73,373.04,379.28,379.28,109710749,109710749,-10.82,-2.77,383.7875,"January 02, 25",-0.0277
4,2024-12-31,423.79,427.93,402.54,403.84,403.84,76825121,76825121,-19.95,-4.71,414.525,"December 31, 24",-0.0471
5,2024-12-30,419.4,427.0,415.75,417.41,417.41,64941012,64941012,-1.99,-0.47449,419.89,"December 30, 24",-0.0047449
6,2024-12-27,449.52,450.0,426.5,431.66,431.66,82666821,82666821,-17.86,-3.97,439.42,"December 27, 24",-0.0397
7,2024-12-26,465.16,465.33,451.02,454.13,454.13,76651210,76651210,-11.03,-2.37,458.91,"December 26, 24",-0.0237
8,2024-12-24,435.9,462.78,435.14,462.28,462.28,59551800,59551800,26.38,6.05,449.025,"December 24, 24",0.0605
9,2024-12-23,431.0,434.51,415.41,430.6,430.6,72698100,72698100,-0.4,-0.09280742,427.88,"December 23, 24",-0.0009280742
10,2024-12-20,425.51,447.08,417.64,421.06,421.06,132216200,132216200,-4.44,-1.05,427.8225,"December 20, 24",-0.0105
11,2024-12-19,451.88,456.36,420.02,436.17,436.17,118566146,118566146,-15.71,-3.48,441.1075,"December 19, 24",-0.0348
12,2024-12-18,466.5,488.54,427.01,440.13,440.13,149340800,149340800,-26.37,-5.65,455.545,"December 18, 24",-0.0565
13,2024-12-17,475.9,483.99,457.51,479.86,479.86,131223000,131223000,3.96,0.83211,474.315,"December 17, 24",0.0083211
14,2024-12-16,441.09,463.19,436.15,463.02,463.02,114083811,114083811,21.93,4.97,450.8625,"December 16, 24",0.0497
15,2024-12-13,420.0,436.3,415.71,436.23,436.23,89000200,89000200,16.23,3.86,427.06,"December 13, 24",0.0386
16,2024-12-12,424.84,429.3,415.0,418.1,418.1,87752225,87752225,-6.74,-1.59,421.81,"December 12, 24",-0.0159
